iter	RMSE
0	176.3809988
1	165.7756768
2	160.1231902
3	154.1275106
4	148.4711871
5	146.0007496
6	144.3794453
7	133.4628536
8	128.4365402
9	126.0150568
10	123.9724794
11	121.819193
12	120.9338345
13	117.815156
14	116.3199901
15	115.0534615
16	112.0676152
17	110.5077413
18	106.6350524
19	105.7402166
20	105.1169756
21	104.7417621
22	103.5459569
23	101.9421016
24	101.4924322
25	99.84019526
26	98.5379818
27	96.60861179
28	95.73548691
29	95.14067525
30	94.77390986
31	94.34580038
32	93.67211714
33	92.52094423
34	90.47205159
35	89.83634034
36	89.19994979
37	88.65687902
38	88.2554914
39	87.96978071
40	86.884442
41	85.94482266
42	85.59128588
43	84.91122243
44	84.4874028
45	84.28556307
46	83.88072056
47	83.44873806
48	83.04730802
49	82.74642805
50	82.5382816
51	82.01924116
52	81.8967282
53	81.54109062
54	81.34526869
55	81.09493957
56	80.62974255
57	80.21539983
58	79.85328569
59	79.68752801
60	79.3102187
61	79.02958552
62	78.5753939
63	78.3765314
64	78.14603147
65	77.89228377
66	77.71487978
67	77.58763245
68	77.38056991
69	77.27582445
70	77.1113946
71	76.71632889
72	76.53259918
73	76.14305847
74	76.01771283
75	75.82755796
76	75.63423157
77	75.51662744
78	75.36380693
79	75.0632199
80	74.82255658
81	74.63268825
82	74.44217487
83	74.17979147
84	73.93243017
85	73.67937545
86	73.39137054
87	73.20930926
88	72.85012621
89	72.7069162
90	72.5994946
91	72.47166214
92	72.252207
93	72.05116122
94	71.96552201
95	71.84464031
96	71.75844281
97	71.65912297
98	71.55073349
99	71.48446592
