iter	Passed	Remaining
0	47	4750
1	90	4446
2	138	4476
3	181	4351
4	218	4160
5	260	4083
6	296	3939
7	345	3967
8	384	3887
9	428	3852
10	466	3773
11	502	3688
12	538	3603
13	574	3529
14	613	3475
15	661	3474
16	711	3474
17	753	3434
18	799	3408
19	840	3363
20	877	3299
21	910	3226
22	950	3183
23	994	3147
24	1035	3105
25	1077	3065
26	1116	3017
27	1160	2984
28	1202	2943
29	1239	2892
30	1277	2843
31	1315	2795
32	1354	2749
33	1394	2707
34	1445	2684
35	1484	2639
36	1526	2598
37	1569	2560
38	1610	2519
39	1648	2473
40	1693	2436
41	1745	2410
42	1807	2395
43	1864	2372
44	1927	2356
45	1973	2316
46	2023	2281
47	2074	2247
48	2186	2276
49	2248	2248
50	2344	2252
51	2391	2207
52	2439	2163
53	2498	2128
54	2550	2086
55	2594	2038
56	2642	1993
57	2688	1946
58	2731	1898
59	2769	1846
60	2805	1793
61	2848	1745
62	2897	1701
63	2936	1651
64	2974	1601
65	3012	1552
66	3041	1497
67	3077	1448
68	3108	1396
69	3138	1344
70	3173	1296
71	3208	1247
72	3246	1200
73	3286	1154
74	3323	1107
75	3355	1059
76	3385	1011
77	3423	965
78	3453	918
79	3492	873
80	3532	828
81	3573	784
82	3614	740
83	3655	696
84	3690	651
85	3729	607
86	3766	562
87	3804	518
88	3845	475
89	3884	431
90	3926	388
91	3957	344
92	3990	300
93	4029	257
94	4059	213
95	4087	170
96	4115	127
97	4143	84
98	4174	42
99	4205	0
